K2Cd2Te3 mp-571637
La2Si2O7 mp-5732
CsPH3O3F mp-574928
Cu2S mp-581212
Nb7S2I19 mp-583476
CaAlH5 mp-601881
GaSi4H30C10Cl mp-604970
PH3O4 mp-626449
Ba(HO)2 mp-626994
H3CSClO mp-644221
SiAg5ClO4 mp-647305
SbRu2C6Cl7O6 mp-662588
CsRe6S8Br3 mp-669564
PrYSi2O7 mp-680387
MoSe2Cl4O mp-683684
CsRe3(S2Br)2 mp-683890
Ho(IO3)3 mp-683980
Ag3TeIO4 mp-684006
SrB8O13 mp-684018
LiCuP2O7 mp-684120
TlP(HO2)2 mp-690711
MgH2(SO4)2 mp-690765
NaHCO3 mp-696396
MgH20C4Br2(N4O3)2 mp-703426
Ni17(As3O16)2 mp-705872
NaGa(H2N)4 mp-706544
NaCaB5(H5O7)2 mp-707788
Na4H20RuS4(NO9)2 mp-720279
VH8C2N2O6F mp-720829
H14RuS2(N2O3)2 mp-722271
RbP(HO2)2 mp-722348
Sb2S19F12 mp-723419
CdRe2H16C4S4(NO)8 mp-733747
MnH6(OF)3 mp-735521
BaRe2(H2O3)4 mp-740752
H2Os4Pt(CO)15 mp-740758
Mn2PH9(C4O3)3 mp-744610
Mo2AsH18C6NO12 mp-744843
Y2HfO5 mp-752554
Ba3(BrO)2 mp-752648
LiCuCO3 mp-753152
Mg3WO6 mp-755534
K2Sr2O3 mp-756334
K2MgH8(CO5)2 mp-757963
Ba2CaP4(H3O8)2 mp-758007
P2HNF4 mp-758989
Na2Cd2O3 mp-761024
Na3Fe2(PO4)3 mp-761060
Sb3H18C6N mp-761898
K2Li2TiO4 mp-762240
CaH8(NO5)2 mp-762501
Li5V(CO3)4 mp-765146
LiNiPO4 mp-765154
Ba3Y2Br12 mp-768402
Li8B2O7 mp-768921
BaLaI5 mp-770314
Li2AlCoO4 mp-770610
Li2BSbO4 mp-770654
Li3Cu5O4 mp-770818
