Li2H4(SO4)3 mp-720254
K2H6PtC4N4O3 mp-720283
UH10N2O7 mp-720295
LiBH2OF4 mp-730585
BeH8(IO5)2 mp-734194
NaSbO3 mp-752755
Li3CuS2 mp-753737
TeO3 mp-754658
SrCaI4 mp-754885
BaTeO4 mp-754967
Cs2BaO2 mp-755217
Ba2SrI6 mp-756624
Li2Cr2Si2O9 mp-758712
Li2Fe2Si2O9 mp-758821
As2HPbF13 mp-758957
Li2Cr2P2O7F2 mp-758993
Li2CrPO4F mp-759202
Li2CrO3 mp-764409
Ba2CaI6 mp-766317
NaPH2OF6 mp-767419
VSO4F3 mp-768093
Mg(IO3)2 mp-768315
Ho2(SO4)3 mp-768800
Li4Bi2O5 mp-768988
Y2(SeO4)3 mp-769147
Y4Ga2O9 mp-769480
Li2Cr2(SO4)3 mp-770410
Ho2(SeO4)3 mp-770431
Mn2P2O7F2 mp-770557
GeWO4 mp-770711
Sr2CaI6 mp-771645
Li2Cr3(CoO6)2 mp-772115
Ga2(WO4)3 mp-772174
Y2W2O9 mp-772342
FePO4F mp-772533
BaSr2I6 mp-772876
Bi3IO4 mp-772910
Na4P3H3O11 mp-774455
TiO2 mp-775938
CdSiO3 mp-776023
LiVF4 mp-777566
Li2Fe2(SO4)3 mp-777573
Li3NbHO2F7 mp-777766
Cd(BO2)2 mp-778103
Li2Co2(SO4)3 mp-778578
SrCa2I6 mp-780396
Na4Bi2O5 mp-780428
Ta2Zn4O9 mp-780506
LiMn4(PO4)3 mp-780784
Ca(BO2)2 mp-8056
NiS2 mp-850068
LiB3P(HO3)3 mp-850414
Cd2TeCl2O3 mp-950214
Tl2Cr3O12 mp-9754
CrN2 mp-1015582
BaEu2O4 mp-1019738
CeSe2 mp-1080302
CeSe2 mp-1080851
CeSe2 mp-1087553
TaCoGe mp-1095502
Ta2Co4O9 mp-1101344
CeSbIr mp-1101808
TmGeIr mp-1102700
TmGaPd mp-1103022
NbNiAs mp-1103243
YGaPt mp-1103353
In2O3 mp-1105681
Na2MgPO4F mp-11165
WO3 mp-1172828
SrZnSb2 mp-1179023
UN2O7 mp-1179344
Nb2FeO6 mp-1180571
K2Fe2P2O7F2 mp-1181859
BaI2O mp-1182139
Fe3P2H6O11 mp-1182551
Hg(OF)2 mp-1188411
Ir2S3 mp-1188655
Bi2O3 mp-1190124
Li2Mg(HN)2 mp-1193106
Yb(BiS2)2 mp-1194332
Na3VS2(O4F)2 mp-1194885
Lu2Si4Mo3 mp-1194888
Ba3GaAs3 mp-1195592
