Zn2W3O8 mvc-8027
Ca2Mo3O8 mvc-8058
Ca2Fe3O8 mvc-8063
W3O8 mvc-8147
WS mp-1004526
InAs mp-1007652
Na3Sr3GaP4 mp-10096
Na3Sr3GaAs4 mp-10097
YGeAu mp-10098
PbS mp-1012435
ZnO mp-1017539
MgSe mp-1018040
CaBiAu mp-1018657
PrGeAu mp-1019094
CaSnHg mp-1019104
Ca2SiO4 mp-1019563
ZnS mp-10281
CdSe mp-1070
LaSnAu mp-1071260
YbZnPb mp-1077097
CaFeSO mp-1078415
Al2Zn2S5 mp-1096794
B3Rh7 mp-1106065
Tb7Rh3 mp-1106174
Al4SiC4 mp-1106244
YbCuSb mp-11701
NaBe4SbO7 mp-1173658
LiVO2 mp-1176519
Fe3TeO8 mp-1178313
CrI2 mp-1181742
CuCl mp-1184046
HIr mp-1184680
Er8In3Co mp-1190234
Na3Ca3AlSb4 mp-1190339
Rb6HgSe4 mp-1190907
Ce4S3NCl3 mp-1191097
K6HgSe4 mp-1191206
BaScZn3GaO7 mp-1192501
Sr3(Cu2Sn)4 mp-1192625
Tm8In3Co mp-1192642
Y8In3Co mp-1192970
BaV6O11 mp-1197031
Nd15Ge9C mp-1197766
Er2NiAs2 mp-1206480
TbSbPd mp-1206527
Tb23Cd4Rh7 mp-1208790
Sm23Mg4Ni7 mp-1209695
Na3Sr3GaSb4 mp-1210275
Na2Ca(CO3)2 mp-1210373
La23Mg4Ir7 mp-1211976
La23Cd4Rh7 mp-1212070
Dy3(Co2Sn)4 mp-1213577
K6MgO4 mp-12171
TaCuS2 mp-1217959
PrH18(BrO6)3 mp-1220119
NbCuSe2 mp-1220412
KBa2V2ClO7 mp-1223502
CsTaSe3 mp-1225880
Ba3LaIrRuO9 mp-1228246
Ba3Fe2WO9 mp-1228376
Ba3FeRu2O9 mp-1228400
Ba3InIrRuO9 mp-1228718
Ca2W3O8 mp-1239399
NaMgN mp-1245774
RbSnN mp-1245901
LiGeN mp-1246087
YCuSn mp-13202
LaAgPb mp-13406
Na3Ca3AlAs4 mp-15572
TmSnAu mp-16741
HoCuPb mp-16750
LuCuPb mp-16753
Sm4FeSe6O mp-17271
LiTmSn mp-18189
Ba4LiNb3O12 mp-18274
BaDyCo4O7 mp-18804
Mg2Mo3O8 mp-19139
YCuPb mp-20865
ZnO mp-2133
YbCuBi mp-22953
Ba4Cl6O mp-23063
CdI2 mp-28248
Sm4Cl6O mp-28544
Eu4Cl6O mp-28546
K4Sb2O3 mp-29696
Th7Ni3 mp-30809
Hg4OF6 mp-31132
Ce7Ru3 mp-31164
TbSnAu mp-31413
TbAgPb mp-31447
KSnAs mp-3481
Na7SnS3(O4F)3 mp-554294
Cu7P12S9Cl7 mp-554511
Ba4Br6O mp-555218
Sr4Br6O mp-556049
Si(Sn3O4)2 mp-556100
