LiSiBiO4 mp-772109
Li2Cr3(CoO6)2 mp-772115
Cr2(WO4)3 mp-772321
Cr3(CuO6)2 mp-772337
Ni(IO3)2 mp-772376
Li2W(OF2)2 mp-772400
Cr3(FeO6)2 mp-772616
Mn2Cr3O12 mp-772631
Li2Cr5O12 mp-772650
Cr3(CoO6)2 mp-772720
Na2Ge2O5 mp-772863
Ti2Cr3O12 mp-772950
La3Si2BO10 mp-773117
Li2Cr3(FeO6)2 mp-775129
Y2O3 mp-775906
Na2V2O5 mp-778104
LiMnB3(HO3)3 mp-778282
B3H3SeO9 mp-778385
CrB3(HO3)3 mp-778931
Cs3NO4 mp-778950
Li2Mn2Si2O9 mp-779016
Gd2W2O9 mp-779920
Li2Cr3(NiO6)2 mp-780190
Na5CuO4 mp-780220
SrCa2I6 mp-780396
Nb2CdO6 mp-781861
Na2Ti2O5 mp-781948
PH8N4Cl mp-781992
P4WO12 mp-849758
Li4CrP2O9 mp-849763
CaB2(H7N)2 mp-866308
Ca5Al2(SiN4)2 mp-866314
Ca2SnS4 mp-866883
K4(S2O3)5 mp-867980
Rb4Te2S8O15 mp-867999
TaAlO4 mp-8898
Ba2YC2(O2F)3 mp-8985
La4Au2O9 mp-9160
Si2MoO6 mvc-7046
MgCoBiO5 mvc-7834
V2NiO6 mp-1012103
Ba4GaN3O mp-1019516
Zn2SiO4 mp-1020610
Zn2SiO4 mp-1020636
Sr2Ga2O5 mp-1020723
KNbN2 mp-1029504
NaNbN2 mp-1030657
CoPSe mp-10368
Rb2MgSi5O12 mp-1080284
CeSe2 mp-1080301
CeSe2 mp-1080853
PAuS mp-1094079
Sr5W3O14 mp-1101400
Sn2(SO4)3 mp-1101728
MgSi2NiO6 mp-1171109
Li4FeS3 mp-1177404
Li2Fe2(SO4)3 mp-1178011
Fe2O3 mp-1178392
UO4 mp-1178859
Sn7(SO10)2 mp-1179547
Sb4S7N2 mp-1179822
Rb3VO8 mp-1180695
CsVSO6 mp-1181965
CoBrO mp-1181976
Ca2SiO5 mp-1182212
Ca2SiO5 mp-1182405
TiO2 mp-1190753
In2O3 mp-1194571
NaIn(TeO3)2 mp-1194878
Rb2Si5NiO12 mp-1195212
ZrH32C10IN5 mp-1195791
Pr3Si2BO10 mp-1196034
LiBH5N mp-1196392
Eu3Si2BO10 mp-1196416
Li2P3NO9 mp-1196743
ThV2TeO12 mp-1196774
MgFe(SiO3)2 mp-1196844
H7C2SNO mp-1197067
CaMgB2O5 mp-1197459
KB5O8 mp-1197506
KH3CO6 mp-1198088
Na2H14CO10 mp-1198167
NaSbClOF3 mp-1198269
