ThTi2O6 mp-4733
CaSb10(S3O5)2 mp-504882
TiSn6F16 mp-505113
Na4TiSe4 mp-505798
Li5B7S13 mp-532413
Ti(PO3)4 mp-540258
TiI4 mp-541013
Cd2Si(P2O7)2 mp-541108
KY(PO3)4 mp-541495
K4Ti3S14 mp-541735
K3Nb2AsSe11 mp-542545
P3IrO9 mp-554749
NaY(SiO3)2 mp-554778
Dy2Hf2(MoO4)7 mp-555720
RbLiMoO4 mp-556209
KMo2Cl7O2 mp-558030
Na4Li5(BO3)3 mp-558455
Cs2Na2B10O17 mp-559557
Cs3AlGe2O7 mp-561315
Ag3AsS3 mp-561620
SiO2 mp-562490
NaY(IO3)4 mp-581868
AgSbS2 mp-627601
In5Br7 mp-652621
Fe2Co4Ge2(CO)21 mp-652793
Nd2Cu2O5 mp-667803
Al(ICl2)3 mp-672352
BaGa2(SiO4)2 mp-6759
K4N2O5 mp-677509
Zr10C9 mp-684623
Mo(PO3)4 mp-695772
LiV2(PO4)3 mp-697749
AgH12C4S5N mp-698405
RbTeHOF4 mp-698479
Na2Ni2(B4O7)3 mp-704915
H2S2O7 mp-707293
Na2Ca3B5H2S2ClO18 mp-707645
Zr4H22N4O3F20 mp-707889
H13Se2N3O8 mp-708034
K4TeP4(HO2)10 mp-720494
Rb2FeH2C5(N3O)2 mp-735584
SiH12N2(O2F3)2 mp-743965
MgFeO3 mp-752416
Yb2TiO5 mp-753108
Li2(NiO2)3 mp-753296
Sb3O4F mp-753515
Li2MnVO4 mp-753760
Cr(PO3)2 mp-754772
Lu2GeO5 mp-755373
Li2Si2NiO6 mp-756249
Rb2H8O5 mp-757144
Li3V3P8O29 mp-757329
Li3Ti2(PO4)3 mp-757671
Li4FeSi2O7 mp-757988
LiV(PO3)4 mp-758085
Li2Cr3O6 mp-758744
LiCo(CO3)2 mp-762401
Li3TiMn3O8 mp-765565
ZnPH5C2N4O3 mp-766269
Li2Mn2Si3O10 mp-766544
Li2CrO3 mp-770192
Li2TiCo2O5 mp-770848
La2P4O13 mp-771338
Cr(PO3)2 mp-772171
Cr(PO3)2 mp-772172
LiCrPO4 mp-772907
Gd2(WO4)3 mp-773192
LiMnOF2 mp-776488
Na6Ti2O7 mp-777423
Li3MnV(PO4)3 mp-778002
Ge2N2O mp-778194
Ce(WO4)2 mp-778675
Li3Sb3P8O29 mp-779525
Be2P2O7 mp-779622
Li3V3P8O29 mp-780579
Tl4SiS4 mp-8479
Cd(PO3)2 mp-866339
K2TeH6SeO10 mp-867184
LaMgI5 mp-867737
Mn2Zn(PO4)2 mvc-10044
CaFe2(PO4)2 mvc-10081
Nb2TeO8 mvc-20
Mo(PO3)4 mvc-2222
Ca2Ta2NiO8 mvc-2726
VPO5 mvc-3279
Ce4Si3Rh4 mp-1006390
KMn3O6 mp-1016190
CsMn2N3 mp-1029801
F2 mp-1067793
BaC2(SN)2 mp-10928
La2Mg mp-1094203
Mg2Zn mp-1094468
CaC2(SN)2 mp-11009
Yb2TiO5 mp-1101168
Sr2CaI6 mp-1101374
Yb5Pd2 mp-1104397
Pr(BO2)3 mp-11183
Si2SnO6 mp-1142992
BaSr2I6 mp-1178516
TeC4S4(N4Cl)2 mp-1179382
GaF3 mp-1181390
Cr2N2O7 mp-1181809
Ca(BO5)2 mp-1182309
K2Se2O7 mp-1190160
Cr2N2O7 mp-1191080
TeC2S2(N2Cl)2 mp-1191376
Te8RuCl2 mp-1191663
Th(BO2)4 mp-1194365
Sr2P7Cl mp-1194705
Ba5Zn2B4(O6F)2 mp-1195124
BaB4(SbO6)2 mp-1195214
TaP2H27C9Cl2 mp-1196107
Li2Si3H30(C5N2)2 mp-1197444
NaH6C4SN3O5 mp-1197676
Ba3Fe2P4(O6F5)2 mp-1198352
SrH10Pb2Br6O5 mp-1198495
HoSbMo2O9 mp-1198978
K2Ca5S6O25 mp-1199173
Na2VFeF7 mp-1199680
Si mp-1199894
B3H4NO5 mp-1200137
ThH28C12(N2O3)6 mp-1200732
K2Na2Sm4Nb2O13 mp-1200960
BaH6(C2O5)2 mp-1202302
Eu2H16S3O20 mp-1203361
RePO6 mp-1203700
Cu3Ag5(PO4)4 mp-1204064
UCr4(H3O4)6 mp-1204339
Ba6Sn7S20 mp-1204773
ZrMn2H12(O3F4)2 mp-1205027
CaTiGeO5 mp-1205333
Ca3(AlP2)2 mp-1205337
ZnAg2(PS3)2 mp-1207470
Rb2MoP2O9 mp-1209627
MgTa2Zn2O8 mp-1210631
LiV(WO4)2 mp-1210933
Na20Zn7Sn12 mp-1211291
Mg2Cu2H2CO9 mp-1211417
K3Nb6SBr17 mp-1211937
CsHo(MoO4)2 mp-1213217
CsEu(MoO4)2 mp-1213245
Cs3PrCl6 mp-1213891
BaTb2(MoO4)4 mp-1214377
VPO5 mp-1216303
Sr2PrMn3O9 mp-1218779
Sr2Gd(FeO3)3 mp-1218942
PrZr3F15 mp-1219817
LuZr3F15 mp-1222422
HgAs3H12C4S6N mp-1226380
Ba3Er2MoO9 mp-1228244
Tl2Ge2S5 mp-12307
GaB2N3 mp-1245554
Sr3(MoN2)2 mp-1245846
Mg3(BiN2)2 mp-1245952
Y2Cd3N4 mp-1246032
Mg3(GaN2)2 mp-1246041
Ca3(RhN2)2 mp-1246056
Ca3(InN2)2 mp-1246121
Ba5(GeN3)2 mp-1246227
Cd3(InN2)2 mp-1246398
Ba3(IrN2)2 mp-1246673
Mg3(AlN2)2 mp-1246676
Mg2NbN3 mp-1246788
Cd3(GaN2)2 mp-1247069
Ba3(MnN2)2 mp-1247122
Sr5(VN3)2 mp-1247227
TaPb2N3 mp-1247316
MgSi2SnO6 mp-1251059
MgCrSiO5 mp-1266240
FeO mp-1283030
Mg(CoO2)2 mp-1303707
Li3Mn2CoO6 mp-1306526
LiNbFeO4 mp-1312821
Cs2SrP2O7 mp-14355
NaAlAsO4F mp-14395
ZnNi(GeO3)2 mp-1569015
Mg2Ta2CrO8 mp-1661313
Sb2O5 mp-1705
V2Zn2O7 mp-17458
Sm2MoO6 mp-17591
Nd2WO6 mp-18479
BeAlH5 mp-23720
Ga2NiP3H8NO14 mp-23783
CdP2(HO)4 mp-24316
CaH4SeO6 mp-24534
Be3As2(H2O5)2 mp-24570
MgH10(SeO5)2 mp-24578
NaAlBP2H3O10 mp-24646
Fe(PO3)4 mp-26336
Na4As2O7 mp-27197
U6Cu2S13 mp-28356
Ti(ClO4)4 mp-28481
Os2(CO)7 mp-28636
In3SnI5 mp-28871
Ba3(GaS3)2 mp-29302
Li2B2Se5 mp-30100
Ca5Au2 mp-30367
Dy5Ru2 mp-30622
Na2Sb4O7 mp-30972
LiMnP2O7 mp-31924
AlTlF4 mp-3751
PdSe2O5 mp-4649
LiCo2P3O10 mp-504230
CeF4 mp-542001
BaGa2(GeO4)2 mp-542459
Sr3Mg(SiO4)2 mp-554641
Ni(BO2)2 mp-555102
TmNbO4 mp-555109
Ba3Bi2(PO4)4 mp-555231
Na2RuO3 mp-556058
Ba6Ti17O40 mp-556729
Na3Fe2(PO4)3 mp-556984
NaV(GeO3)2 mp-558048
Ba4Nb2(OF4)3 mp-558153
Pr3Si2S8I mp-558259
K2Ni4P4O15 mp-558324
LiNb3(Bi2O7)2 mp-559052
F2 mp-561203
BaCeI4 mp-569380
Ca3(GaN2)2 mp-571162
CNCl mp-571324
Cs2Ge2S5 mp-572598
Cs5Bi(MoO4)4 mp-573429
BaCdGaF7 mp-621924
Co2PClO4 mp-622183
Sr(H2O3)2 mp-625821
Dy2(GePt3)3 mp-641314
Cs2P2H2O7 mp-643074
Cd2P3Cl mp-644431
Ho2B4O9 mp-647283
Cs4Re6S13 mp-652494
InCu(WO4)2 mp-672012
YbS2 mp-672705
Li2NiO3 mp-674420
Ca2SiO4 mp-675299
TaTlO3 mp-676262
Ta4Cu2O11 mp-676563
K2Na2Gd4Nb2O13 mp-680381
CBr4 mp-680422
Li4Ti5O12 mp-685194
CaH12(IO7)2 mp-698021
NpH16C4N8ClO6 mp-698125
KTb2Cu(MoO4)4 mp-699636
Ni5Te4(BrO6)2 mp-704879
K3Na3TeP6(HO4)6 mp-707985
V2O3 mp-715514
Na6P2H2O9 mp-722834
Ti(PO3)4 mp-752705
Co2C2O7 mp-753266
Li2Cu4S3 mp-753623
BaYBr5 mp-754021
BaSrI4 mp-754199
